name,economy (mpg),displacement (cc),power (hp),weight (lb),0-60 mph (s),year,x,y
AMC Ambassador Brougham,13,360,175,3821,11,73,11,3821
AMC Ambassador DPL,15,390,190,3850,8.5,70,8.5,3850
AMC Ambassador SST,17,304,150,3672,11.5,72,11.5,3672
AMC Concord DL 6,20.2,232,90,3265,18.2,79,18.2,3265
AMC Concord DL,18.1,258,120,3410,15.1,78,15.1,3410
AMC Concord DL,23,151,90,3035,20.5,82,20.5,3035
AMC Concord,19.4,232,90,3210,17.2,78,17.2,3210
AMC Concord,24.3,151,90,3003,20.1,80,20.1,3003
AMC Gremlin,18,232,100,2789,15,73,15,2789
AMC Gremlin,19,232,100,2634,13,71,13,2634
AMC Gremlin,20,232,100,2914,16,75,16,2914
AMC Gremlin,21,199,90,2648,15,70,15,2648
AMC Hornet Sportabout (Wagon),18,258,110,2962,13.5,71,13.5,2962
AMC Hornet,18,199,97,2774,15.5,70,15.5,2774
AMC Hornet,18,232,100,2945,16,73,16,2945
AMC Hornet,19,232,100,2901,16,74,16,2901
AMC Hornet,22.5,232,90,3085,17.6,76,17.6,3085
AMC Matador (Wagon),14,304,150,4257,15.5,74,15.5,4257
AMC Matador (Wagon),15,304,150,3892,12.5,72,12.5,3892
AMC Matador,14,304,150,3672,11.5,73,11.5,3672
AMC Matador,15,258,110,3730,19,75,19,3730
AMC Matador,15.5,304,120,3962,13.9,76,13.9,3962
AMC Matador,16,258,110,3632,18,74,18,3632
AMC Matador,18,232,100,3288,15.5,71,15.5,3288
AMC Pacer D/L,17.5,258,95,3193,17.8,76,17.8,3193
AMC Pacer,19,232,90,3211,17,75,17,3211
AMC Rebel SST (Wagon),15,360,175,3850,11,70,11,3850
AMC Rebel SST,16,304,150,3433,12,70,12,3433
AMC Spirit DL,27.4,121,80,2670,15,79,15,2670
Audi 100 LS,20,114,91,2582,14,73,14,2582
Audi 100 LS,23,115,95,2694,15,75,15,2694
Audi 100 LS,24,107,90,2430,14.5,70,14.5,2430
Audi 4000,34.3,97,78,2188,15.8,80,15.8,2188
Audi 5000,20.3,131,103,2830,15.9,78,15.9,2830
Audi 5000S (Diesel),36.4,121,67,2950,19.9,80,19.9,2950
Audi Fox,29,98,83,2219,16.5,74,16.5,2219
BMW 2002,26,121,113,2234,12.5,70,12.5,2234
BMW 320i,21.5,121,110,2600,12.8,77,12.8,2600
Buick Century 350,13,350,175,4100,13,73,13,4100
Buick Century Limited,25,181,110,2945,16.4,82,16.4,2945
Buick Century Luxus (Wagon),13,350,150,4699,14.5,74,14.5,4699
Buick Century Special,20.6,231,105,3380,15.8,78,15.8,3380
Buick Century,17,231,110,3907,21,75,21,3907
Buick Century,22.4,231,110,3415,15.8,81,15.8,3415
Buick Electra 225 Custom,12,455,225,4951,11,73,11,4951
Buick Estate Wagon (Wagon),14,455,225,3086,10,70,10,3086
Buick Estate Wagon (Wagon),16.9,350,155,4360,14.9,79,14.9,4360
Buick Lesabre Custom,13,350,155,4502,13.5,72,13.5,4502
Buick Opel Isuzu Deluxe,30,111,80,2155,14.8,77,14.8,2155
Buick Regal Sport Coupe (Turbo),17.7,231,165,3445,13.4,78,13.4,3445
Buick Skyhawk,21,231,110,3039,15,75,15,3039
Buick Skylark 320,15,350,165,3693,11.5,70,11.5,3693
Buick Skylark Limited,28.4,151,90,2670,16,79,16,2670
Buick Skylark,20.5,231,105,3425,16.9,77,16.9,3425
Buick Skylark,26.6,151,84,2635,16.4,81,16.4,2635
Cadillac Eldorado,23,350,125,3900,17.4,79,17.4,3900
Cadillac Seville,16.5,350,180,4380,12.1,76,12.1,4380
Chevroelt Chevelle Malibu,16,250,105,3897,18.5,75,18.5,3897
Chevrolet Bel Air,15,350,145,4440,14,75,14,4440
Chevrolet Camaro,27,151,90,2950,17.3,82,17.3,2950
